,,,,,,,,,,,,,
Year,Month,Day,Direction,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Column1
1854,April,4,Upbound,American,Schooner,James G. King,Rochester,Port Burwell,No Cargo,,,,IMG_4349.jpg
1854,April,4,Upbound,British,Steamer,Britannia,Hamilton,St. Catharines,No Cargo,,,,IMG_4349.jpg
1854,April,5,Downbound,British,Schooner,Teresa Shickluna,St. Catharines,Cape Vincent,Flour,,,,IMG_4350.jpg
1854,April,5,Upbound,American,Schooner,Sirius,Oswego,Huron,Plaster,,,,IMG_4349.jpg
1854,April,6,Upbound,American,Barkentine,Indiana,Oswego,Detroit,Plaster,,,,IMG_4349.jpg
1854,April,6,Upbound,British,Schooner,Sorell,Toronto ,Rondeau,No Cargo,,,,IMG_4349.jpg
1854,April,7,Upbound,American,Schooner,Comely,Oswego,Toledo,Plaster,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Orion,Port Dalhousie,St. Clair,No Cargo,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Sweet Home,Port Dalhousie,Clear Creek,No Cargo,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,General Wolfe,Hamilton,Bear Creek,No Cargo,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Maid of the West,Hamilton,Bear Creek,No Cargo,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Royal Oak,Oakville,Chatham,No Cargo,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Morning Star,Toronto ,Port Colborne,Merchandise,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Jenny Lind,Toronto ,Dunnville,Merchandise,,,,IMG_4349.jpg
1854,April,7,Upbound,British,Schooner,Mary,St. Catharines,Dunnville,No Cargo,,,,IMG_4349.jpg
1854,April,8,Upbound,American,Brigantine,Manhattan,Oswego,Port Stanley,Salt,,,,IMG_4349.jpg
1854,April,8,Upbound,American,Schooner,Armada,Toronto ,Toledo,No Cargo,,,,IMG_4349.jpg
1854,April,8,Upbound,British,Propeller,St. Lawrence,Hamilton,Chatham,No Cargo,,,,IMG_4349.jpg
1854,April,8,Upbound,British,Schooner,Caroline Marsh,Port Hope,Cleveland,No Cargo,,,,IMG_4349.jpg
1854,April,8,Upbound,British,Schooner,Jane Ann Marsh,Port Hope,Port Stanley,No Cargo,,,,IMG_4349.jpg
1854,April,8,Upbound,British,Schooner,Ann Jane Brown,Port Hope,Lake St. Clair,No Cargo,,,,IMG_4349.jpg
1854,April,10,Upbound,American,Brigantine,H.H. Sizer,Oswego,Detroit,Plaster,,,,IMG_4351.jpg
1854,April,10,Upbound,American,Schooner,Kate Robinson,Oswego,Chicago,Water lime,Merchandise,,,IMG_4349.jpg
1854,April,10,Upbound,American,Schooner,Belle Sheridan,Oswego,Chicago,Salt,,,,IMG_4349.jpg
1854,April,10,Upbound,American,Schooner,Plymouth Rock,Oswego,Chicago,Coal,,,,IMG_4349.jpg
1854,April,10,Upbound,American,Schooner,Melrose,Oswego,Milwaukee,Salt,,,,IMG_4349.jpg
1854,April,10,Upbound,American,Schooner,Alvin Bronson,Oswego,Detroit,Plaster,,,,IMG_4349.jpg
1854,April,10,Upbound,American,Schooner,Conquest,Oswego,Detroit,Water lime,,,,IMG_4349.jpg
1854,April,10,Upbound,American,Schooner,L.B. Crocker,Oswego,Detroit,Salt,,,,IMG_4351.jpg
